resource_category,organization_name,phone_number,address,latitude,longitude
Syringe Service Program,Seven Hills Behavioral Health Fall River,(508) 679-0962,"310 South Main Street, Fall River, MA, 02721",41.6983085,-71.1583505
Syringe Service Program,Seven Hills Behavioral Health - Drop In Center (Fall River),(508) 235-1012,"356 South Main Street, Fall River, MA, 02720",41.6978561,-71.1589001
Syringe Service Program,SSTAR,(508) 679-3296,"1010 South Main Street, Fall River, MA, 02724",41.6907377,-71.1651585
Syringe Service Program,Tapestry Health- Greenfield,(413) 475-3377,"40 School Street  Greenfield, MA, 01301",42.5890807,-72.601107
Syringe Service Program,New North Citizens Council,(413) 746-4885,"34 Catherine Street, Springfield, MA, 01109",42.112315,-72.5653714
Syringe Service Program,Tapestry Health- Holyoke,(413) 586-8288,"15 Main Street, Holyoke, MA, 01040",42.2054735,-72.6024433
Syringe Service Program,Tapestry Health- Northampton,(413) 586-0310,"16 Center Street, Northampton, MA, 01060",42.3189558,-72.631674
Syringe Service Program,Tapestry Health (Holyoke),(413) 315-3732,"306 Race Street, Holyoke, MA, 01040",42.2004425,-72.6074938
Syringe Service Program,Chicopee Health Center - Center for Recovery and Support,(413) 420-1730,"505 Front Street, Chicopee, MA, 01020",42.1487126,-72.5975781
Syringe Service Program,Tapestry Health (Chicopee),(413) 586-2016,"12 Ames Ave, Chicopee, MA, 01013",42.1488332,-72.6023754
Syringe Service Program,Tapestry Harm Reduction Services - Needle Exchange Programs,(413) 363-9472,"1985 Main Street, Springfield, MA, 01060",42.1072373,-72.5973525
Syringe Service Program,AIDS Support Group of Cape Cod - Needle Exchange Programs,(508) 487-8311,"336 Commercial St., , Provincetown, MA, 02657",42.052855,-70.1849623
Syringe Service Program,AIDS Support Group of Cape Cod - Falmouth,(774) 763-6656,"31 Teaticket Highway, East Falmouth, MA, 02536",41.5615848,-70.5978827
Syringe Service Program,One Shared Spirit,(774) 228-3431,"651 Falmouth Road, Mashpee, MA, 02649",41.6121255,-70.49038
Syringe Service Program,Tapestry Health - Westfield,(413) 241-5379,"17 East Silver Street, Westfield, MA, 01085",42.1139884,-72.7452526
Syringe Service Program,AIDS Support Group of Cape Cod,(866) 990-2437,"428 South Street, Hyannis, MA, 02601",41.6487256,-70.2893999
Syringe Service Program,AIDS Support Group of Cape Cod - Martha's Vineyard,(774) 994-7935,"517 State Road, Vineyard Haven, MA, 02568",41.4449951,-70.6189142
Syringe Service Program,Syringe and Needle Disposal Site - Dennisport - Syringe and Needle Disposal Site,(508) 760-6158,"465 Main Street, Dennisport, MA, 02639",41.6884292,-70.156384
Syringe Service Program,Berkshire Harm Reduction - North Adams,(413) 398-5603,"6 West Main Street , North Adams, MA, 01247",42.6997484,-73.1150386
Syringe Service Program,Berkshire Harm Reduction Pittsfield,(413) 447-2654,"201, Pittsfield, MA, 01201",42.4500845,-73.2453824
Medication for Opioid Use Disorder,BMC Addiction Warmline,(617) 414-4175,"1 Boston Medical Center Place, Boston, MA, 02118",42.3355661,-71.0724101
Medication for Opioid Use Disorder,Eliot Center at Concord,(978) 369-1113,"86 Baker Ave Extension  Concord, MA, 01742",42.4614432,-71.3862892
Medication for Opioid Use Disorder,"Spectrum Health Systems, Inc",(781) 290-4970,"210 BEAR HILL ROAD  WALTHAM, MA, 02451",42.3835891,-71.2660209
Medication for Opioid Use Disorder,Advocates Community Counseling,(781) 893-5110,"675 Main Street, Waltham, MA, 02452",42.3764276,-71.2369137
Medication for Opioid Use Disorder,"On Call Treatment, LLC",(833) 287-7223,"564 Main Street  Waltham, MA, 02452, Waltham, MA, 02452",42.3761777,-71.2332675
Medication for Opioid Use Disorder,Newton Wellesley Hospital Substance Use Services,(617) 243-6062,"2000 Washington St, Newton, MA, 02462",42.3313754,-71.2455017
Medication for Opioid Use Disorder,Children's Adolescent Substance use and Addiction Program (ASAP),(617) 355-2727,"9 Hope Avenue Multi-Specialty Clinic, Waltham, MA, 02453",42.3690042,-71.2493011
Medication for Opioid Use Disorder,Spectrum Health Systems (Hub & Spoke with Co-located OTP),(508) 875-5801,"68 FRANKLIN STREET, FRAMINGHAM, MA, 01701",42.2790877,-71.4184797
Medication for Opioid Use Disorder,"New Horizons Medical, P.C",(508) 872-0700,"214 HOWARD ST., FRAMINGHAM, MA, 01702",42.2781625,-71.4138412
Medication for Opioid Use Disorder,Advocates Community Counseling - Outpatient Counseling,(508) 485-9300,"340 Maple Street, Marlborough, MA, 01752",42.3358096,-71.5410877
Medication for Opioid Use Disorder,Wilton Cross,(617) 916-5069,"124 Watertown Street  Watertown, MA, 02472",42.3626965,-71.1909418
Medication for Opioid Use Disorder,Paramount Recovery Centers,(978) 878-3677,"120 Turnpike Road  Southborough, MA, 01772, Southborough, MA, 01772",42.2916811,-71.5130512
Medication for Opioid Use Disorder,"Northstar Recovery Center, LLC",(888) 311-0911,"132 Turnpike Road  Southborough, MA, 01772, Southborough, MA, 01772",42.2913777,-71.5149026
Medication for Opioid Use Disorder,Greater Boston Addiction Center,(877) 926-3034,"322 Reservoir Street, Needham, MA, 02494, Needham, MA, 02494",42.3069899,-71.2261072
Medication for Opioid Use Disorder,"Right Turn - Outpatient Counseling (Individual, Group, Family)",(781) 646-3800,"440 Arsenal Street, Watertown, MA, 02472",42.363652,-71.1624435
Medication for Opioid Use Disorder,Mount Auburn Hospital Prevention & Recovery Center - Outpatient Counseling,(617) 499-5051,"330 MOUNT AUBURN STREET, CAMBRIDGE, MA, 02138",42.3738747,-71.1345237
Medication for Opioid Use Disorder,North Charles Impact Outpatient Counseling,(617) 864-0941,"54 Washburn Avenue, Cambridge, MA, 02140, Cambridge, MA, 02140",42.4000624,-71.1303302
Medication for Opioid Use Disorder,North Charles Institute For The Addictions Outpatient Counseling,(617) 661-5700,"54 Washburn Avenue, Cambridge, MA, 02140",42.4000624,-71.1303302
Medication for Opioid Use Disorder,"Addiction Treatment Center of New England, Inc",(617) 254-1271,"77 Warren Street, Brighton, MA, 02135",42.3484365,-71.1423915
Medication for Opioid Use Disorder,Better Life Partners,(866) 679-0831,"1900 West Park Dr  Westborough, MA, 01581",42.2810633,-71.5725269
Medication for Opioid Use Disorder,Advocates Outpatient Services,(508) 661-2038,"257 Ayer Road, Harvard, MA, 01451",42.5339318,-71.5771167
Medication for Opioid Use Disorder,Cambridge Health Alliance OBAT Program (Cambridge Family Health),(857) 523-0053,"2067 Massachusetts Avenue, Cambridge, MA, 02140",42.3916166,-71.122994
Medication for Opioid Use Disorder,Greater Lawrence Family Health Center - South,(978) 686-3017,"73D Winthrop St, Lawrence, MA, 01843",42.6895562,-71.1507507
Medication for Opioid Use Disorder,Behavioral Health Network (BHN) Somerville,(978) 655-9686,"401 HIGHLAND AVENUE, SOMERVILLE, MA, 02144",42.3961417,-71.1205261
Medication for Opioid Use Disorder,Arbour Counseling Center - Allston,(617) 782-6460,"14 FORDHAM ROAD, BOSTON, MA, 02134",42.3518694,-71.1276985
Medication for Opioid Use Disorder,"New Horizons Medical, P.C",(617) 202-9222,"358 HARVARD ST, BROOKLINE, MA, 02446",42.3441022,-71.1251004
Medication for Opioid Use Disorder,Bournewood Hospital Detox - DMH Program,(617) 469-0300,"300 SOUTH STREET, Chestnut Hill, MA, 02467",42.2982761,-71.1493023
Medication for Opioid Use Disorder,Acorn Health Services,(508) 691-6086,"112 Main Street,  Northborough, MA, 01532",42.3210721,-71.6333778
Medication for Opioid Use Disorder,Arbour Counseling Services,(781) 932-8114,"10-I Roessler Road, Woburn, MA, 01801",42.510664,-71.1414999
Medication for Opioid Use Disorder,"Arbour Counseling Services - Outpatient Counseling (Individual, Group, Family)",(781) 871-6550,"10-I Roessler Rd., Woburn, MA, 01801",42.510664,-71.1414999
Medication for Opioid Use Disorder,North Charles Institute For The Addictions (OTP),(617) 661-5700,"1493 Cambridge Street, Cambridge, MA, 02140",42.3748024,-71.1042804
Medication for Opioid Use Disorder,Children's Adolescent Use and Addiction Program (ASAP),(617) 355-2727,"2 Brookline Place, Brookline, MA, 02445",42.332117,-71.1156434
Medication for Opioid Use Disorder,Health Care Resource Centers,(781) 838-6757,"9 FORBES ROAD, WOBURN, MA, 01801",42.4949767,-71.121642
Medication for Opioid Use Disorder,"Middlesex Recovery, PC",(781) 305-3300,"20 TOWER OFFICE PARK, WOBURN, MA, 01801",42.5016666,-71.1239631
Medication for Opioid Use Disorder,Cambridge Health Alliance,(857) 523-0053,"119 Windsor Street, Cambridge, MA, 02139",42.3645783,-71.0971001
Medication for Opioid Use Disorder,Brigham and Women's Health Bridge Clinic,(617) 278-0172,"75 Francis Street 1st  Boston, MA, 02115",42.3360033,-71.1072378
Medication for Opioid Use Disorder,Faulkner Hospital Addiction Recovery Program,(617) 983-7060,"1153 Centre Street,  Boston, MA, 02130",42.3014851,-71.1282337
Medication for Opioid Use Disorder,"VA Boston Drug Dependence Treatment Center, Opioid Treatment Program",(857) 364-6265,"150 S Huntington Ave, Boston, MA, 02130",42.3261251,-71.1110873
Medication for Opioid Use Disorder,"Middlesex Recovery, PC",(781) 303-9936,"2 Courthouse Lane,  Chelmsford, MA, 01824",42.6240974,-71.3590567
Medication for Opioid Use Disorder,Spectrum Health Systems,(877) 697-3422,"157 Oak St., Westborough, MA, 01581",42.2863671,-71.628145
Medication for Opioid Use Disorder,Fenway Community Health Center,(617) 927-6281,"1340 Boylston Street, Boston, MA, 02215",42.3441103,-71.0989696
Medication for Opioid Use Disorder,Cambridge Health Alliance OBAT Program (CHA East Cambridge Care Center),(857) 523-0053,"163 Gore Street, Cambridge, MA, 02141",42.3730593,-71.0854052
Medication for Opioid Use Disorder,"Clear Path for Veterans, New England",(978) 384-8800,"84 Antietam Street Devens, MA 01434, Ayer, MA, 01434",42.5496064,-71.6148076
Medication for Opioid Use Disorder,Arbour Counseling Jamaica Plain,(617) 524-1120,"157 GREEN ST., BOSTON, MA, 02130",42.310126,-71.1067408
Medication for Opioid Use Disorder,GRACE MBUYA,(508) 344-7530,"21 SW CUTOFF, Northborough, MA, 01532",42.3064045,-71.6571147
Medication for Opioid Use Disorder,"Whittier Street Health Center - Outpatient Counseling (Individual, Group, Family)",(617) 427-1000,"1290 Tremont Street Whittier Street Health Center, Boston, MA, 02120",42.3327216,-71.0919783
Medication for Opioid Use Disorder,Eleanor Health - Lowell,(866) 499-1718,"325 Chelmsford St, Lowell, MA, 01851",42.6307264,-71.3215282
Medication for Opioid Use Disorder,"Eleanor Health Professional MA, PLLC - Lowell",(978) 321-0750,"325 Chelmsford St.  Lowell, MA, 01851, Lowell, MA, 01851",42.6307264,-71.3215282
Medication for Opioid Use Disorder,Dimock Community Health Center,(617) 442-8800,"45 Dimock Street, Roxbury, MA, 02119",42.3202809,-71.0975758
Medication for Opioid Use Disorder,Newton Wellesley Bridge Clinic,(617) 243-6062,"2000 Washington Street, Blue Building  Newton, MA, 02462",42.3313754,-71.2455017
Medication for Opioid Use Disorder,West End Clinic Addiction Services (MGH),(617) 724-2480,"100 Blossom Street, Cox-1,  Boston, MA, 02114",42.3636193,-71.0691835
Medication for Opioid Use Disorder,MGH ARMS Program,(617) 643-4699,"55 Fruit Street, Boston, MA, 02114",42.3632187,-71.0686042
Medication for Opioid Use Disorder,MGH Bridge Clinic,(617) 643-8281,"55 Fruit Street, Boston, MA, 02114",42.3632187,-71.0686042
Medication for Opioid Use Disorder,MGH Charlestown Healthcare Center OBOT,(617) 724-8135,"73 High Street, Charlestown, MA, 02129",42.3771503,-71.064309
Medication for Opioid Use Disorder,"SUPPORT (Substance Use,Prevention,Public,Outreach,Recovery,Treatment)",(617) 587-1905,"1601 Washington Street, Boston, MA, 02118",42.3383369,-71.0747099
Medication for Opioid Use Disorder,Boston Medical Center,(617) 414-4388,"850 Harrison Avenue, Boston, MA, 02118",42.33502,-71.074882
Medication for Opioid Use Disorder,Boston Medical Center ABOVE Program - OBOT,(617) 414-6655,"850 Harrison Avenue, Boston, MA, 02118",42.33502,-71.074882
Medication for Opioid Use Disorder,Project RESPECT - Pregnant & Post-Partum Women,(617) 414-6655,"850 Harrison Avenue, 5th  Boston, MA, 02118",42.33502,-71.074882
Medication for Opioid Use Disorder,BMC Addiction Psychiatry OBAT,(617) 414-1962,"1 Boston Medical Center Pl, Boston, MA, 02118",42.3355661,-71.0724101
Medication for Opioid Use Disorder,Lindemann Mental Health Center,(617) 626-8500,"25 Staniford Street, Boston, MA, 02114, Boston, MA, 02114",42.3628086,-71.0635546
Medication for Opioid Use Disorder,BMC CATALYST Program,(617) 414-6655,"801 Massachusetts Ave 7th  Boston, MA, 02118",42.3330467,-71.0736404
Medication for Opioid Use Disorder,Boston Medical Center - Office Based Addiction Treatment (OBAT),(617) 414-4123,"801 Massachusetts Avenue, Boston, MA, 02118",42.3330467,-71.0736404
Medication for Opioid Use Disorder,Health Care for the Homeless,(857) 654-1600,"780 Albany Street, Boston, MA, 02118",42.3336166,-71.0728071
Medication for Opioid Use Disorder,BMC Family Medicine OBAT,(617) 414-2080,"11 Melnea Cass Blvd., Boston, MA, 02119",42.332039,-71.0735448
Medication for Opioid Use Disorder,"Lowell Community Health Center Behavioral Health Services - Outpatient Counseling (Individual, Group, Family)",(978) 937-9448,"161 Jackson Street, Lowell, MA, 01852",42.6418133,-71.3115185
Medication for Opioid Use Disorder,Health Care Resource Centers,(617) 541-3670,"170 MORTON STREET, BOSTON, MA, 02130",42.3000472,-71.1016018
Medication for Opioid Use Disorder,MGH Everett Family Care,(617) 394-7500,"19 Norwood Street, Everett, MA, 02149",42.4075666,-71.0565089
Medication for Opioid Use Disorder,Familias Unidas Outpatient Clinic,(617) 684-6209,"245 Eustis Street, Boston, MA, 02119",42.3267786,-71.0751028
Medication for Opioid Use Disorder,"Danvers Treatment Center, Opioid Treatment Program Medical Unit",(978) 259-7000,"365 EAST STREET, SAUNDERS BUILDING D1C1, TEWKSBURY, MA, 01876",42.6116532,-71.2084272
Medication for Opioid Use Disorder,Health Care for the Homeless - St. Francis,(617) 542-4704,"39 Boylston St,  Boston, MA, 02111",42.3525109,-71.063473
Medication for Opioid Use Disorder,Health Care Resource Centers HCRC,(617) 271-2193,"23 BRADSTON STREET, BOSTON, MA, 02118",42.3330995,-71.0705822
Medication for Opioid Use Disorder,New Health - Charlestown,(857) 238-1100,"15 Tufts Street, Charlestown, MA, 02129",42.3778685,-71.0567876
Medication for Opioid Use Disorder,North End Waterfront Health- Bunker Hill Housing Development,(857) 238-1105,"15 Tufts Street, Charlestown, MA, 02129",42.3778685,-71.0567876
Medication for Opioid Use Disorder,"Codman Square Health Center - Outpatient Counseling (Individual, Group, Family)",(617) 825-9660,"637 Washington Street, Boston, MA, 02124",42.289369,-71.0719691
Medication for Opioid Use Disorder,Bay Cove Treatment Center,(617) 371-3030,"66 CANAL STREET 1ST AND 4TH  BOSTON, MA, 02114",42.3636637,-71.059666
Medication for Opioid Use Disorder,Northeast Family Services,(781) 769-2655,"55 PROVIDENCE HIGHWAY, NORWOOD, MA, 02062",42.2113595,-71.1856014
Medication for Opioid Use Disorder,Trinity Care Associates,(978) 455-0756,"100 Merrimack Street, Lowell, MA, 01852",42.6454883,-71.3093893
Medication for Opioid Use Disorder,Boston Comprehensive Treatment Center,(617) 849-9572,"99 Topeka St, Boston, MA, 02118",42.3335633,-71.0664439
Medication for Opioid Use Disorder,Meta Addiction Treatment,(844) 909-2560,"55 Concord Street, North Reading, MA, 01864",42.5604389,-71.1239575
Medication for Opioid Use Disorder,Habit Opco - Boston,(339) 228-9167,"99 TOPEKA STREET, BOSTON, MA, 02118",42.3335633,-71.0664439
Medication for Opioid Use Disorder,Eliot Center at Everett,(781) 388-6200,"173 Chelsea Street, Everett, MA, 02149, Everett, MA, 02149",42.40395,-71.0488018
Medication for Opioid Use Disorder,North End Waterfront Health,(617) 643-8080,"332 Hanover Street, Boston, MA, 02113",42.3648007,-71.0537232
Medication for Opioid Use Disorder,Uphams Corner Health Center Addiction Services,(617) 287-8000,"415 Columbia Road, Boston, MA, 02125",42.3118214,-71.0687613
Medication for Opioid Use Disorder,MGH Community Health Associates - Chelsea Healthcare Center,(617) 884-8300,"151 Everett Avenue, Chelsea, MA, 02150",42.3961678,-71.0389809
Medication for Opioid Use Disorder,Mattapan Community Health Center,(617) 296-0061,"1575 Blue Hille Ave., Boston, MA, 02126",42.2697831,-71.0940152
Medication for Opioid Use Disorder,"Gavin Foundation, Center for Recovery Services",(617) 268-5000,"210 Old Colony Avenue, Boston, MA, 02127",42.3330387,-71.0537
Medication for Opioid Use Disorder,Noddles Island Multi-Service Agency - Chelsea Counseling Center - Day Treatment,(617) 912-7900,"301 Broadway, Chelsea, MA, 02150",42.3910401,-71.0366372
Medication for Opioid Use Disorder,East Boston Neighborhood Health Center,(617) 568-6260,"20 Maverick Square, East Boston, MA, 02128",42.3697056,-71.0396552
Medication for Opioid Use Disorder,Noddles Island Multi-Service Agency - Counseling / Outpatient Services for Youth,(617) 569-3189,"14 Porter Street, Boston, MA, 02128",42.3748594,-71.0380069
Medication for Opioid Use Disorder,East Boston Neighborhood Health Center- Addiction Services,(617) 569-5800,"10 Gove Street, Boston, MA, 02128, Boston, MA, 02128",42.3723523,-71.0383533
Medication for Opioid Use Disorder,Catholic Charities Family Counseling and Guidance Center,(617) 464-8500,"275 West Broadway, Boston, MA, 02127, Boston, MA, 02127",42.3387947,-71.051485
Medication for Opioid Use Disorder,South Boston Community Health Center,(617) 269-7500,"409 West Broadway, South Boston, MA, 02127",42.3368405,-71.0482446
Medication for Opioid Use Disorder,Riverside Outpatient Center at Norwood,(781) 769-8670,"190 LENOX ST, NORWOOD, MA, 02062",42.189138,-71.1983685
Medication for Opioid Use Disorder,DotHouse Health,(617) 288-3230,"1353 Dorchester Avenue, Dorchester, MA, 02122",42.3044999,-71.0593874
Medication for Opioid Use Disorder,"Geiger Gibson Community Health Center - Outpatient Counseling (Individual, Group, Family)",(617) 288-1140,"250 Mount Vernon Street, Boston, MA, 02125",42.3194686,-71.0461123
Medication for Opioid Use Disorder,Health Care Resource Centers,(617) 889-8779,"175 CRESCENT AVENUE, CHELSEA, MA, 02151",42.3962242,-71.0233229
Medication for Opioid Use Disorder,Spectrum Health Systems,(508) 634-1877,"200 EAST MAIN STREET, MILFORD, MA, 01757",42.1510093,-71.4983687
Medication for Opioid Use Disorder,Cambridge Health Alliance - Revere,(781) 485-8222,"454 Broadway, 3rd  Revere, MA, 02151",42.4113718,-71.0117964
Medication for Opioid Use Disorder,Riverside Outpatient Center at Lynnfield,(781) 246-2010,"6 KIMBALL LANE  LYNNFIELD, MA, 01940",42.5095667,-71.0342606
Medication for Opioid Use Disorder,Harbor Health Services - Daniel Driscoll Neponset Community Health Center,(617) 282-3200,"398 Neponset Avenue, Boston, MA, 02122",42.286795,-71.044066
Medication for Opioid Use Disorder,"New England Medical Group, LLC",(833) 311-0407,"210 Whiting street  Hingham, MA 02043, Milford, MA, 01757",42.1811614,-70.902187
Medication for Opioid Use Disorder,MGH Community Health Associates - Revere Healthcare Center,(781) 485-6000,"300 Ocean Avenue, Revere, MA, 02151",42.4079497,-70.9922506
Medication for Opioid Use Disorder,Manet Community Health Center- North Quincy,(857) 403-0815,"110 West Squantum Street, North Quincy, MA, 02171",42.2726013,-71.0308483
Medication for Opioid Use Disorder,CleanSlate - Leominster OBOT,(978) 227-1046,"165 MILL STREET  LEOMINSTER, MA, 01453",42.5321021,-71.7476154
